搭档数据简表 (移动版),,,,,,,,,,,,
本表显示了移动版下各个搭档在1级、20级、30级（如果有觉醒形态）时的Frag、Step、Over数值。,,,,,,,,,,,,
,,,,,,,,,,,,
如果需要查看搭档各级的详细数值，请前往对应搭档单页查看。,,,,,,,,,,,,
,,,,,,,,,,,,
#,搭档名称,类型,Lv.1,,,Lv.20,,,Lv.30,,,技能
27,诺诺,平衡型,0.5,25,25,0.5,78,78,0.5,88,88,获得 “EX” 或更高成绩时额外获取 2525 残片
28,潘多拉涅墨西斯（MTA-XXX）,挑战型,68,63,46,95,89,69,105,99,79,困难 - 流失20个音符后，当前游玩曲目将立即失败
29,轩辕十四（MDA-21）,挑战型,50,69,44,70,98,70,80,108,80,困难 + 判定为模糊（Far）时略微减少回忆率
30,群愿,平衡型,62,50,33,95,75,50,105,85,60,视觉 - 游玩?Sunset Radiance?歌曲时，显示昼/夜主题
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）消耗体力后，本次步数进度保存并于下次世界模式中加算
31,光（Fantasia）,平衡型,45,45,45,50,80,80,-,-,-,-
32,对立（Sonata）,平衡型,45,45,45,80,50,80,-,-,-,-
33,兮娅,平衡型,52,51,37,87,64,63,-,-,-,一定概率造成全曲谱面“镜像” 于镜像状态下通关时，奖励 5 额外残片
34,DORO*C,平衡型,44,34,25,71,55,25,81,65,35,回忆率收集条的读数将决定最终通关评级（获得A级或以下评分则为通关失败）
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）回忆率的读数将决定最终通关评级(读数低于个人最佳成绩评级时立即失败)
35,对立（Tempest）,挑战型,27,70~130,27,50,100~160,50,-,-,-,困难 - 风暴收集条
36,布丽兰特,挑战型,59,62,50,85,90,72,95,100,82,困难 - 回忆率归零后直接判定为乐曲失败
37,依莉丝（夏日）,挑战型,0,70,20,0,110,55,-,-,-,困难 + 连击数小于20时不会增加回忆率
38,咲弥（Etude）,平衡型,45,45,45,80,80,50,-,-,-,-
39,爱丽丝 & 坦尼尔,平衡型,50,32,63,75,50,95,-,-,-,镜像 + 隐藏模糊（Far）判定
40,露娜 & 美亚,平衡型,50,32,21,50,74,55,-,-,-,O.N.G.E.K.I. - 溢伤（overdamage）额外奖励残片
41,阿莱乌斯,挑战型,47,61,47,70,90,70,-,-,-,困难 + 判定为流失（LOST）时根据当前连击数减少回忆率
42,希尔,挑战型,47,47,61,70,70,90,80,80,100,困难 + 在歌曲最后1/4部分不会获得回忆率
43,伊莎贝尔,挑战型,61,47,47,90,70,70,100,80,80,困难 + 回忆率最大值会根据当前回忆率而减少
44,迷尔,支援型,43,37,65,65,56,99,-,-,-,提高初始回忆率增长倍数 增长倍数会随着歌曲进行逐渐下降
45,拉格兰,平衡型,42,42,80,80,80,80,-,-,-,当前分数将显示为与距离最近评级的分数之差
46,凛可,支援型,38,50,38,61,79,61,-,-,-,前10个流失（LOST）判定不会减少回忆率
47,奈美,平衡型,25,50,30,50,55,40,-,-,-,每73个纯粹（PURE）判定获得1额外残片 每个流失（LOST）判定失去1残片
48,咲弥 & 伊莉莎白,平衡型,58,45,49,68,65,69,-,-,-,获得+X额外碎片（连续使用该搭档游玩歌曲时获得的残片量随游玩次数上升）
49,莉莉,平衡型,50,41,15,60,59,62,-,-,-,获得+X额外残片（连续使用其他搭档游玩歌曲时获得的残片量随游玩次数上升）
50,群愿（盛夏）,平衡型,61,61,34,90,90,51,-,-,-,（昼）简单 + 歌曲开始时支付10残片 此技能在夜晚会改变
,,,,,,,,,,,,
,,,,,,,,,,,,（夜）困难 + 歌曲通关时获得5额外残片 此技能在白天会改变
51,爱丽丝 & 坦尼尔（Minuet）,平衡型,45,45,45,67,50,90,-,-,-,-
52,对立（Elegy）,平衡型,45,45,45,50,90,67,-,-,-,-
99,白姬,平衡型,38,33,28,66,58,50,-,-,-,通关一首“精选曲目”时获得10额外残片
53,玛莉嘉,平衡型,38,58,38,60,90,60,-,-,-,MUSE DASH - 游玩Muse Dash歌曲时天空音符将变为幽灵
54,维塔,挑战型,34,50,67,51,75,100,-,-,-,困难 + 镜像 - 超量加成随回忆率提升 提升量最多为10
55,光（Fatalis）,???/创世型,27,130~230,120~220,50,210~310,200~300,-,-,-,困难 - 宿命收集条 + 牺牲体力让世界模式过载
56,咲姬,平衡型,18,18,44,35,35,85,-,-,-,O.N.G.E.K.I.-通关歌曲时根据准确率造成溢伤
57,刹那,挑战型,56,57,33,85,86,50,-,-,-,困难 + O.N.G.E.K.I. (50)
58,天音,挑战型,47,55,55,47,92,92,-,-,-,不会触发速度与随机限制格，但此时若成绩低于“EX”则世界模式进度减半
59,红（冬日）,平衡型,30,50,50,50,80,50,-,-,-,所有搭档将现有残片的25%分享给红（总和为X） 残片在游玩一首歌后获得
60,拉格兰（Aria）,平衡型,45,45,45,75,75,75,-,-,-,-
61,忘却（Apophenia）,挑战型,57,70,57,80,100,80,-,-,-,困难 + 镜像 - 回忆率归零时乐曲失败
62,夏玛（大～宇～宙）,平衡型,56,38,31,90,60,50,-,-,-,曲目开始时消耗10残片 每通关一首曲目获得一瓶牛奶
63,咪璐库（大～宇～宙）,平衡型,47,29,29,80,50,50,-,-,-,消耗全部牛奶（已拥有:X瓶） 每瓶牛奶能让得到100个残片的概率增加11%
64,紫黑,挑战型,33,44,65,50,68,100,-,-,-,困难 + 击中音符后回忆率的变化增加
65,百合咲美香,平衡型,26,26,26,51,51,51,-,-,-,通关一首maimai曲目后 该角色的所有数值暂时翻倍
66,密特拉·泰尔塞拉,挑战型,29,26,29,54,50,54,64,60,64,困难 + 每达150连击数世界模式进度+1
67,不来方永爱,挑战型,66,35,42,100,53,65,-,-,-,困难 - 达到60个模糊或流失判定时挑战立即失败
68,奈美（暮光）,支援型,40,40,40,50,85,59,-,-,-,简单 + 回忆率不会减少 但回忆率增加速度大幅放缓
69,Ilith & Ivy,平衡型,33,33,33,58,58,58,-,-,-,重拾情感。每份情感会给Ilith & Ivy的一项能力带来+10的提升
70,Hikari & Vanessa,挑战型,51,58,58,51,96,96,-,-,-,困难 + 失去情感。每份破碎的情感会使Hikari & Vanessa的一项能力造成-10的损失
71,摩耶,平衡型,27,31,31,40,47,47,50,57,57,（技能1）不会触发随机限制格。世界模式下技能将在曲目结算后改变
,,,,,,,,,,,,
,,,,,,,,,,,,（技能2）限制 - 随机曲目+世界进度翻倍。世界模式下技能将在曲目结算后改变
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）歌曲游玩抵达全曲1/4进度时，回忆率将全部转化为角色能力加成
72,洞烛（至高：第八探索者）,???/探索者,50,40,35,115,80,75,-,-,-,绝对禁忌的力量，只能为一人所用。
,,,,,,,,,,,,
,,,,,,,,,,,,困难 - 侵袭收集条 - 有概率以两倍进度侵占当前搭档的世界模式进度
,,,,,,,,,,,,
,,,,,,,,,,,,困难 - 侵袭收集条
73,露恩,挑战型,60,50,34,70,80,54,80,90,64,困难 - 获得+X额外残片，奖励随连续通关次数上升
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）困难 - 回忆率留存至下一曲目 + 获得+X残片，奖励随连续通关次数上升
74,维塔（Cadenza）,平衡型,45,45,45,50,67,90,-,-,-,-
75,Ai酱,平衡型,50,41,41,61,41,41,-,-,-,每日推荐歌曲 首次通关推荐曲目可获得41残片
76,露娜 & 伊洛,平衡型,38,12,12,48,55,34,-,-,-,根据击中音符数获得最高20残片的奖励
77,爱托 & 荷珀,平衡型,22,31,19,37,50,30,-,-,-,体力大于等于6格时世界进度翻倍
78,哀寂（至高：第六探索者）,挑战型,63,72,38,90,103,55,-,-,-,困难 - 哀寂收集条
79,千夏,平衡型,37,40,40,60,66,66,-,-,-,O.N.G.E.K.I. - 造成溢伤后随机提高一种搭档能力
80,纺,平衡型,23,16,26,50,35,55,-,-,-,O.N.G.E.K.I. - 根据溢伤表现获得残片奖励
81,奈伊,平衡型,59,33,39,92,52,62,102,62,72,流失五个音符后，每多流失一个音符，残数将减少3
82,赛润妮·雪儿（MIR-203）,挑战型,45,35,56,66,65,81,76,75,91,困难 + 最大连击数达到歌曲音符总量的每1/3时，增加10步数
83,莎露朵,平衡型,20,23,20,44,50,44,-,-,-,根据单个章节地图的完成情况额外获得最高10的世界模式进度
84,埃希德,挑战型,43,24,25,79,43,46,89,53,56,困难 + 每推进1/5歌曲游玩进度减少10点回忆率并获得两个残片
85,光 & 赛润妮·雪儿（Fracture & MIR-203）,挑战型,50,46,46,50,84,84,-,-,-,CHUNITHM + 困难 - 曲目结算时每满一格收集条增加2步数与2超量值
86,光 & 克莱尔,平衡型,22,26,18,47,55,39,-,-,-,FEVER收集条 + FEVER每达到x5时
,,,,,,,,,,,,额外获得1残片
87,对立 & 菲尔,挑战型,37,49,71,55,73,105,-,-,-,FEVER收集条 + 困难 - FEVER等级低时
,,,,,,,,,,,,降低命中音符所获得的回忆率
88,奈美 & 希依（暮光）,平衡型,26,32,29,49,59,55,-,-,-,FEVER收集条 + 根据纯粹音符数
,,,,,,,,,,,,与FEVER等级提高世界模式进度
89,野乃香,平衡型,47,35,25,79,60,43,89,70,53,根据游玩表现定级
,,,,,,,,,,,,回报与损失比例随等级上升增加
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）游玩表现不会导致等级上升或下降
,,,,,,,,,,,,一损俱损，荡然无存
90,维塔（Wanderer）,平衡型,34,43,73,52,64,110,-,-,-,每两个模糊（FAR）判定发生时
,,,,,,,,,,,,回忆率及超量（OVER）均减少1点
91,光 & 对立（Breakthrough）,平衡型,45,45,45,90,67,50,-,-,-,-
92,光 & 对立（Debut）,平衡型,23,62,62,35,94,94,-,-,-,每日首次游玩Next Stage曲目时
,,,,,,,,,,,,角色所有能力数值+20
93,VIIM,挑战型,47,77,47,68,110,68,-,-,-,困难 + 回忆率随歌曲进行不断减少
94,海琳娜,平衡型,42,42,71,63,63,105,-,-,-,回忆率收集速度在50%以上时放缓
,,,,,,,,,,,,并在50%以下时增快
95,梦乃,平衡型,70,44,44,103,65,65,-,-,-,回忆率达90%及以上时
,,,,,,,,,,,,流失音符将使回忆率降至85%
96,白姬（Flow）,平衡型,41,33,11,65,58,13,-,-,-,使用其他搭档获得100个残片后
,,,,,,,,,,,,下一次游玩获取的残片数量翻倍
